Details,species
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Hen Harrier x1",": Hen Harrier x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: White-tailed Eagle x1. Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": White-tailed Eagle x1"
"Species involved: Buzzard x1. Tested positive for: Bendiocarb",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Hare Bait x1, Meat x4). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": poison bait (Hare Bait x1, Meat x4)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1, Pheasant Bait x1, Rabbit Bait x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1, Pheasant Bait x1, Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Goshawk x1",": Goshawk x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran, Isofenphos",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species Involved: Buzzard x4; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose","Species Involved: Buzzard x4; poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x2. Tested positive for: Alphachloralose",": Buzzard x2"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: Fox x1; poison bait (Rabbit Bait). Tested positive for: Bendiocarb",": Fox x1; poison bait (Rabbit Bait)"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x1. Tested positive for: Aldicarb",": Peregrine Falcon x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey, Corvidae. Species involved: poison bait (Red-Legged Partridge x2). Tested positive for: Alphachloralose",": poison bait (Red-Legged Partridge x2)"
"Species involved: Red Kite x1. Tested positive for: Aldicarb, Bendiocarb, Carbofuran",": Red Kite x1"
"Species involved: Buzzard x1. Tested positive for: Methomyl",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species Involved: Buzzard x1; poison bait (Rabbit Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x2",": Buzzard x2"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat x5). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": poison bait (Meat x5)"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat x5). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": poison bait (Meat x5)"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat x7). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": poison bait (Meat x7)"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat x8). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": poison bait (Meat x8)"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat x3). Tested positive for: Bendiocarb, Carbofuran, Isofenphos",": poison bait (Meat x3)"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species Involved: Buzzard x2; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose","Species Involved: Buzzard x2; poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Meat x1). Tested positive for: Carbofuran",": poison bait (Meat x1)"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: Raven x3. Tested positive for: Carbofuran",": Raven x3"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Kestrel x3",": Kestrel x3"
"Species involved: Buzzard x2, Carrion Crow x1. Tested positive for: Alphachloralose",": Buzzard x2, Carrion Crow x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Carrion Crow x1. Tested positive for: Alphachloralose",": Carrion Crow x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Hobby x1",": Hobby x1"
"Species involved: Buzzard x1. Tested positive for: Aldicarb",": Buzzard x1"
"Species Involved: Red Kite x1; poison bait (Rabbit Bait x1). Tested positive for: Carbofuran","Species Involved: Red Kite x1; poison bait (Rabbit Bait x1)"
"Species involved: Red Kite x1. Tested positive for: Aldicarb, Carbofuran",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: Dog x1. Tested positive for: Carbofuran",": Dog x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait). Tested positive for: Bendiocarb","Species Involved: Buzzard x1; poison bait (Pheasant Bait)"
"Species targeted: Birds of Prey. Species involved: Dog x1; poison bait (Grey Partridge x1). Tested positive for: Mevinphos/Phosdrin",": Dog x1; poison bait (Grey Partridge x1)"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Dog x1; poison bait (Unidentified Bird x1). Tested positive for: Aldicarb",": Dog x1; poison bait (Unidentified Bird x1)"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species targeted: Birds of Prey. Species involved: Dog x2; poison bait (Unknown). Tested positive for: Diquat, Paraquat",": Dog x2; poison bait (Unknown)"
"Species Involved: Red Kite x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Alphachloralose, Brodifacoum","Species Involved: Red Kite x1; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species targeted: Birds of Prey. Species involved: Dog x2. Tested positive for: Strychnine",": Dog x2"
"Species Involved: Red Kite x1; poison bait (Hen/Chicken Bait). Tested positive for: Alphachloralose","Species Involved: Red Kite x1; poison bait (Hen/Chicken Bait)"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x2. Tested positive for: Carbofuran",": Buzzard x2"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Endrin",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Cat x1. Tested positive for: Carbofuran",": Cat x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Tawny Owl x1. Tested positive for: Alphachloralose",": Tawny Owl x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran",": Raven x1"
"Species targeted: Peregrine Falcon. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Aldicarb",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: Raven x2. Tested positive for: Mevinphos/Phosdrin",": Raven x2"
"Species targeted: Peregrine Falcon. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Tawny Owl x1",": Tawny Owl x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Red Kite x1. Tested positive for: Alphachloralose",": Red Kite x1"
"Species involved: Buzzard x2. Tested positive for: Alphachloralose",": Buzzard x2"
"Species involved: Red Kite x1. Tested positive for: Mevinphos/Phosdrin",": Red Kite x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Peregrine Falcon. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Aldicarb, Carbofuran, Carbosulfan",": poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran",": Golden Eagle x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Alphachloralose, Carbofuran","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Golden Eagle x1. Tested positive for: Carbofuran, Methiocarb, Other, Strychnine",": Golden Eagle x1"
"Species targeted: Birds of Prey. Species involved: Fox x1. Tested positive for: Carbofuran",": Fox x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Sheep x1). Tested positive for: Carbofuran",": poison bait (Sheep x1)"
"Species involved: Birds of Prey x1",": Birds of Prey x1"
"Species involved: Peregrine Falcon x1",": Peregrine Falcon x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Sparrowhawk x1",": Sparrowhawk x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb","Species Involved: Buzzard x1; poison bait (Pheasant Bait x1)"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species Involved: Buzzard x1; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose","Species Involved: Buzzard x1; poison bait (Rabbit Bait x1)"
"Species Involved: Red Kite x1; poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose","Species Involved: Red Kite x1; poison bait (Rabbit Bait x1)"
"Species involved: Barn Owl x1",": Barn Owl x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Alphachloralose",": poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x2. Tested positive for: Alphachloralose",": Buzzard x2"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1)"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran",": Raven x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Mevinphos/Phosdrin",": poison bait (Rabbit Bait x1)"
"Species Involved: Buzzard x1; poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Carbofuran","Species Involved: Buzzard x1; poison bait (Pigeon Bait (Species Unknown) x1)"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: Raven x1. Tested positive for: Carbofuran",": Raven x1"
"Species involved: Red Kite x1. Tested positive for: Carbofuran",": Red Kite x1"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1, Pigeon Bait (Species Unknown) x2). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1, Pigeon Bait (Species Unknown) x2)"
"Species targeted: Birds of Prey. Species involved: poison bait (Rabbit Bait x1). Tested positive for: Carbofuran",": poison bait (Rabbit Bait x1)"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Alphachloralose",": Buzzard x1"
"Species involved: Buzzard x2. Tested positive for: Carbofuran",": Buzzard x2"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Red Kite x1",": Red Kite x1"
"Species involved: Kestrel x1",": Kestrel x1"
"Species involved: White-tailed Eagle x1. Tested positive for: Carbofuran",": White-tailed Eagle x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
"Species involved: Buzzard x1. Tested positive for: Carbofuran",": Buzzard x1"
